Job,Education,Sex,Age,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999
Job,Education,Sex,Age,Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons)
Senior officials and managers,Under middle shcool,Female,Total,197,1796526,1425768,95,199.1,1233404,1895340,94,193.9,929484,3909012,248,152.3,1607800,6363107,75,207.7,1500658,4155879,98,193,1782913,529516,259,197.1,1424977,4710554,643
Senior officials and managers,High shcool,Total,Total,202.6,1282529,3696655,67708,199.6,1376564,3806582,72022,198.7,1482793,4499347,67775,191.1,1743955,5398638,64746,189.4,1869262,5762178,75434,194.4,1876377,5268938,75984,200.8,1795815,3836658,95617
Senior officials and managers,High shcool,Male,Total,202.7,1284207,3738425,65768,199.7,1373921,3858490,70133,198.9,1482905,4502410,66157,191.3,1751224,5396074,62791,189.6,1874650,5767948,73005,194.6,1881133,5295792,73153,200.9,1801951,3787431,89778
Senior officials and managers,High shcool,Female,Total,198.9,1225638,2280624,1940,195.4,1474675,1879416,1889,188.2,1478221,4374082,1618,184.6,1510481,5481009,1955,183.7,1707322,5588732,2429,189.4,1753477,4575031,2831,198.6,1701466,4593546,5839
Senior officials and managers,Jonior college,Total,Total,199.1,1257809,3669238,13530,197.2,1346754,3201533,15541,197.1,1544051,4201060,16970,188.1,1750949,5164221,19996,189.7,1875896,6016138,18489,194.5,1829208,4606929,24677,201.1,1769937,3117980,32574
Senior officials and managers,Jonior college,Male,Total,199.2,1265481,3711926,13016,197.2,1360291,3229171,14851,197.2,1545168,4186562,16838,188.1,1751330,5180264,19698,189.9,1885235,6068524,18165,194.7,1842260,4646662,23738,202.2,1797930,3225435,29191
Senior officials and managers,Jonior college,Female,Total,196.3,1063521,2588253,514,197.1,1055388,2606693,690,188.7,1401591,6050409,132,187.6,1725812,4103785,298,174.2,1352318,3079120,324,189,1499258,3602459,939,191,1528391,2190776,3383
Senior officials and managers,College and university and over,Total,Total,197.2,1630562,5835907,105294,194.2,1740868,5972888,107717,192.9,1992220,7849158,103884,184.1,2270425,8344341,119883,184.8,2420624,9167128,123816,189.9,2392686,8597290,122312,195.5,2374900,6092909,163201
Senior officials and managers,College and university and over,Male,Total,197.3,1634143,5874198,103572,194.2,1746295,5994453,105981,193,1999276,7907158,101977,184.1,2277159,8381226,117713,184.9,2432465,9246984,120363,189.9,2401992,8684213,119062,195.5,2385395,6131763,155927
Senior officials and managers,College and university and over,Female,Total,194.5,1415176,3532834,1722,194.3,1409510,4656347,1736,184.6,1614899,4747593,1907,182.9,1905151,6343452,2170,182.5,2007857,6383539,3453,189.3,2051794,5412907,3250,194.6,2149929,5260036,7274
Professionals,Total,Total,Total,199.9,1028446,3563182,415480,196.8,1128641,4143452,413007,194.4,1232710,5032310,494507,185.7,1382820,5636168,518432,185.8,1470840,6508704,578156,189.8,1526034,6617350,535860,194.5,1685629,5870951,529906
Professionals,Total,Male,Total,200.6,1090037,3919560,332244,197.3,1176722,4411853,338477,194.6,1298025,5454790,394124,185.7,1457358,6120528,401052,186,1547928,7002666,449104,189,1608590,7062713,412259,194.6,1782904,6117283,406791
Professionals,Total,Female,Total,196.9,782603,2140668,83236,194.6,910284,2924515,74530,193.6,976268,3373566,100383,185.8,1128146,3981253,117380,185.2,1202571,4789704,129052,192.6,1250674,5131885,123601,194.1,1364215,5057030,123115
Professionals,Under middle shcool,Total,Total,197.7,778492,2646335,1401,200.7,933176,3462912,1519,198.2,1070196,4329909,914,202.9,1123541,3724637,732,201.9,1204576,4052582,734,271.3,1164779,2689411,1485,200.7,1554178,5152134,1266
Professionals,Under middle shcool,Male,Total,194.7,1007740,4046821,776,201.5,992123,3618055,1269,195.8,1098554,4532233,834,206,1200862,4090332,581,205.9,1217854,4220057,561,204.4,1392640,4452510,556,202.5,1735899,5553584,924
Professionals,Under middle shcool,Female,Total,201.3,493858,907491,625,197.1,633964,2675408,250,222.5,774563,2220688,80,191,826033,2317556,151,188.7,1161519,3509496,173,311.3,1028406,1634208,929,195.7,1063212,4067516,342
Professionals,High shcool,Total,Total,202.4,940448,3375239,20319,200.8,1022300,3954285,14859,198.6,1162157,4758790,17267,187.2,1175698,4442736,15276,191.4,1266299,5248999,21303,191.9,1199173,4341535,19322,200.8,1395148,4177003,27782
Professionals,High shcool,Male,Total,203.9,1039718,3954064,15552,201.2,1124078,4518413,11428,199.8,1250119,5141933,14204,186.9,1338392,5274778,10772,193.5,1437787,6119685,15020,190.9,1408887,5438278,12301,202,1521049,4478366,21475
Professionals,High shcool,Female,Total,197.7,616589,1486863,4767,199.6,683296,2075284,3431,193.3,754248,2982050,3063,187.9,786592,2452782,4504,186.4,856343,3167556,6283,193.6,831748,2420009,7021,196.7,966462,3150876,6307
Professionals,Jonior college,Total,Total,205,782105,2364281,74878,202.1,886186,2716473,63864,199,940507,3063392,82798,189.7,1074972,3519021,81834,190.1,1177424,4116284,92200,195.6,1133038,4530417,73637,199.8,1236032,3525500,67679
Professionals,Jonior college,Male,Total,206.7,916559,2918783,36764,204.6,1003749,3043941,35849,199,1088320,3645965,39067,189.3,1251890,4215883,32867,191,1379384,4820378,39627,193,1336811,4931738,25655,201.6,1406894,3640050,34986
Professionals,Jonior college,Female,Total,203.4,652412,1829419,38114,198.9,735748,2297434,28015,198.9,808458,2542952,43731,190,956224,3051282,48967,189.4,1025197,3585572,52573,197,1024085,4315839,47982,197.9,1053186,3402917,32693
Professionals,College and university and over,Total,Total,198.5,1092996,3860705,318882,195.6,1180813,4428871,332765,193.2,1297662,5460201,393528,184.8,1450691,6094773,420590,184.7,1538968,7045908,463919,188.5,1607116,7078325,441416,193.2,1774887,6348141,433179
Professionals,College and university and over,Male,Total,199.6,1115915,4049085,279152,196.3,1200992,4580265,289931,193.9,1324610,5677950,340019,185.3,1480292,6324798,356832,185.1,1569555,7259843,393896,188.7,1634140,7266337,373747,193.4,1836773,6467549,349406
Professionals,College and university and over,Female,Total,190.6,931960,2537103,39730,191.4,1044230,3404127,42834,189.3,1126423,4076533,53509,182.5,1285028,4807398,63758,182,1366911,5842476,70023,187.8,1457858,6039907,67669,192.3,1516770,5850107,83773
Technicians and associate professioanls,Total,Total,Total,203.7,906960,3624299,371568,201.9,923023,3613495,394496,199.9,1046642,4160667,476695,192.3,1197153,4856596,492500,190.8,1285485,5297914,583271,193.9,1313776,5445795,545949,200.2,1337965,4110610,916691
Technicians and associate professioanls,Total,Male,Total,204,952420,3854708,325869,202.5,980721,3938234,329680,200.9,1113869,4504512,398134,193.3,1258557,5209391,422721,191.6,1358495,5692715,490156,194.1,1381632,5822414,467847,200.9,1432255,4445777,725671
Technicians and associate professioanls,Total,Female,Total,201.9,582796,1981309,45699,198.5,629547,1961741,64816,194.5,705943,2418120,78561,186.1,825168,2719363,69779,187,901159,3219687,93115,192.8,907309,3189770,78102,197.5,979763,2837333,191020
Technicians and associate professioanls,Under middle shcool,Total,Total,210.1,901822,3317165,9833,215.5,871908,2854929,9099,210.4,1097836,3511807,7319,206.3,1154960,3864115,6219,203.1,1422869,4605249,9057,203,1241620,4295893,8661,214.9,1223003,2664936,20193
Technicians and associate professioanls,Under middle shcool,Male,Total,211,914895,3260430,9021,217.3,971696,3275440,7341,211.2,1127500,3608820,6797,207.7,1194829,4031448,5699,202.9,1446111,4666057,8653,202.3,1268560,4417609,7708,212,1352061,3051862,15594
